grp,session,path,class_label,material,object_id,distance_cm,physical_yaw_deg,tx_mode,gate_start_us,gate_end_us,burst_cycles_requested,sample_rate_requested_hz,sample_count_requested,pretrigger_requested_us,firmware,created_local,n_raw_files,manifest,n_cap,n_angles,ang_min,ang_max,ang_step_med,ang_step_uniform,rep_min,rep_max,rep_med,crc_ok_frac,n_crc_fail,clip_lo,clip_hi,adc_min_min,adc_max_max,n_sat_lo,n_sat_hi,base_std_med,pk_med,rms_med,cf_med,gz_med,pkt_med,p2p_med,en_med,base_std_iqr,snr_db_med,snr_db_p10,snr_db_p90,pkt_cv_med,pkt_cv_max,pkt_sd_med_us,pk_ang_min,pk_ang_max,pk_ang_contrast_db,pk_cv_med,gate_start_m,gate_end_m,frac_pin_start,frac_pin_end,txref_us,dist_impl_med_cm,dist_err_cm,dist_sd_cm,sample_rate_hz,sample_count,burst_cycles_m,tx_mode_m,n_missing_raw,modal_cm,frac_in10,frac_2ndecho,frac_early,pk_ang_deg,pk_amp,bw3db_deg,sym_deg,amp_drift_pct,base_drift_pct,rng_spread_cm,rng_iqr_cm,n_ang_ampzero,amp_med,drift_corr_pct,score
B,20260826_124606_wall_reflector_100cm_wood_16cm_before_wall,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_124606_wall_reflector_100cm_wood_16cm_before_wall,wall_reflector_100cm,woodenbox,wood_16cm_before_wall,84.0,0.0,FULL8,1.0,20000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T12:46:06,620,True,620,31.0,-15.0,15.0,1.0,True,20.0,20.0,20.0,1.0,0.0,0.0,0.0,1281.0,2688.0,0.0,0.0,13.164208399982702,744.2579365079365,108.41274819334504,6.652216306575006,8.089082214959996,5864.0,1226.5,55804782.2202066,0.4055833741641237,34.95831268485925,32.50314645440131,35.83489837984793,1.0527088351949871,2.583092054994476,62.00033955764397,467.6011904761904,823.8472222222222,4.919421471062918,1.5975118921732174,1.0,20000.0,0.0,0.0,1008.0,83.2804,-0.7195999999999998,1.063305823413594,250000.0,5000.0,24.0,FULL8,0.0,82.5,1.0,0.0,0.0,7.0,823.8472222222222,,,10.220396765125782,-3.589028193544968,13.720000000000011,3.8416,0.0,748.4742063492064,-0.16620150513818513,94.94708724877013
B,20260826_173049_wall_reflector_100cm_wood_16cm_before_wall_moved17_6cm_rightside_attx,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_173049_wall_reflector_100cm_wood_16cm_before_wall_moved17_6cm_rightside_attx,wall_reflector_100cm,aluminium,wood_16cm_before_wall_moved17_6cm_rightside_attx,95.0,0.0,FULL8,1000.0,16000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T17:30:49,620,True,620,31.0,-15.0,15.0,1.0,True,20.0,20.0,20.0,1.0,0.0,0.0,0.0,1360.0,2696.0,0.0,0.0,12.97352133427484,743.7896825396825,134.0915169428663,5.3562604082124405,13.262908696276703,6568.0,1220.5,67427006.04161942,0.1884795857047496,35.1730198878097,33.10803040329823,35.89819486506049,0.9647733768794402,28.39009126195517,63.95096805983057,544.3452380952381,813.6507936507937,3.4912724861614155,1.719303660667407,1000.0,16000.0,0.0,0.0,1008.0,95.354,0.3539999999999992,1.0967591022260943,250000.0,5000.0,24.0,FULL8,0.0,97.5,0.9935483870967742,0.0064516129032258,0.0,15.0,813.6507936507937,,,-1.7363550006566233,-0.3291383290466934,6.722799999999992,1.955099999999988,0.0,749.3154761904761,-0.15745239084525126,94.91200450699075
B,20260826_171928_wall_reflector_100cm_wood_16cm_before_wall_moved5cm_rightside_attx1,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_171928_wall_reflector_100cm_wood_16cm_before_wall_moved5cm_rightside_attx1,wall_reflector_100cm,aluminium,wood_16cm_before_wall_moved5cm_rightside_attx1,73.0,0.0,FULL8,1000.0,16000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T17:19:28,620,True,620,31.0,-15.0,15.0,1.0,True,20.0,20.0,20.0,1.0,0.0,0.0,0.0,1293.0,2762.0,0.0,0.0,13.0767943696635,789.6150793650794,143.84102054491368,5.431009554783845,17.109434788973353,5204.0,1268.0,77588398.8337585,0.3114743926726238,35.64497910701786,34.18021989438353,36.46816999733062,1.3128731098319948,2.5811075903916776,70.17091915271482,612.3611111111111,889.265873015873,3.24048047005777,1.594869186789126,1000.0,16000.0,0.0,0.0,1008.0,71.9614,-1.0386000000000024,1.203431263469059,250000.0,5000.0,24.0,FULL8,0.0,72.5,1.0,0.0,0.0,9.0,889.265873015873,,,8.647501945867528,-1.94897977455434,9.946999999999989,2.263800000000004,0.0,789.8333333333333,-1.4313118175515689,94.44967267946959
B,20260826_125008_wall_reflector_100cm_wood_16cm_before_wall_moved5cm_rightside_attx1,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_125008_wall_reflector_100cm_wood_16cm_before_wall_moved5cm_rightside_attx1,wall_reflector_100cm,woodenbox,wood_16cm_before_wall_moved5cm_rightside_attx1,84.0,0.0,FULL8,1000.0,20000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T12:50:08,620,True,620,31.0,-15.0,15.0,1.0,True,20.0,20.0,20.0,1.0,0.0,0.0,0.0,1259.0,2732.0,0.0,0.0,13.131162533129348,785.890873015873,120.68389967406212,6.393435441355965,11.155402337377186,6008.0,1281.0,65511587.27903754,0.3997412921474286,35.50482105243632,33.73418423856369,36.205450494380486,1.1474528266732846,4.209459728957128,69.24434234916535,595.6369047619048,866.2519841269841,3.253252884355104,1.459598696986995,1000.0,20000.0,0.0,0.0,1008.0,85.75,1.75,1.1875404712881856,250000.0,5000.0,24.0,FULL8,0.0,87.5,0.964516129032258,0.0,0.0,7.0,866.2519841269841,,,10.155026316010176,-3.2438482181279067,15.29780000000001,2.9498000000000104,0.0,787.7579365079365,0.14158332403561802,93.52895704218945
A,20260829_215729_wood_reflector_wood_50cm,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260829_215729_wood_reflector_wood_50cm,wood_reflector,wood,wood,50.0,0.0,FULL8,1200.0,12000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-29T21:57:29,620,True,620,31.0,-15.0,15.0,1.0,True,20.0,20.0,20.0,1.0,0.0,0.0,0.0,142.0,2209.0,0.0,0.0,11.97039017832093,148.5099206349206,25.277318708230705,5.844341789923584,2.6777029588331853,3580.0,293.0,1725146.1326530613,0.3040474465689247,22.354625220843523,15.483867458559876,24.03476027814173,1.282398659572457,45.2640976135671,45.94321437784284,40.79761904761904,196.9503968253969,13.674440836321018,2.164497632059366,1200.0,12000.0,0.0,0.0016129032258064,1008.0,44.1098,-5.8902,0.7879261265800047,250000.0,5000.0,24.0,FULL8,0.0,42.5,0.985483870967742,0.0048387096774193,0.0,2.0,196.9503968253969,4.065634999775293,0.097960206179926,31.01807938356665,-3.37763333062865,8.71220000000001,0.6859999999999857,0.0,146.1269841269841,0.8548255181125586,82.38289288073238
B,20260826_172705_wall_reflector_100cm_wood_16cm_before_wall_moved5cm_rightside_attx1,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\previous\20260826_172705_wall_reflector_100cm_wood_16cm_before_wall_moved5cm_rightside_attx1,wall_reflector_100cm,aluminium,wood_16cm_before_wall_moved5cm_rightside_attx1,95.0,0.0,FULL8,1000.0,16000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T17:27:05,620,True,620,31.0,-15.0,15.0,1.0,True,20.0,20.0,20.0,1.0,0.0,0.0,0.0,1367.0,2646.0,0.0,0.0,13.11150234534156,718.968253968254,142.02526721801723,4.924439540464315,9.808579600185055,5386.0,1196.0,75641958.04672146,0.3144951731587078,34.71144500572612,33.4725322378288,35.43768901849634,1.2886712702420846,12.55812160158042,70.95617624540125,571.047619047619,779.6031746031747,2.704025476458097,1.3790536381749772,1000.0,16000.0,0.0,0.0,1008.0,75.08269999999999,-19.91730000000001,1.2168984226086317,250000.0,5000.0,24.0,FULL8,0.0,72.5,0.7387096774193549,0.0,0.0,2.0,779.6031746031747,,,-3.5828076081094964,-2.7512613148583687,25.827899999999985,14.577499999999986,0.0,722.8511904761905,-0.16605802166038153,81.29179440712514
A,20260826_191834_wall_reflector_can_reflector_70cm_2,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260826_191834_wall_reflector_can_reflector_70cm_2,wall_reflector,can,can_reflector_70cm_2,70.0,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T19:18:34,610,True,610,61.0,-30.0,30.0,1.0,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1334.0,2706.0,0.0,0.0,13.172065099781692,700.7440476190477,137.31958482780232,5.087254209946449,8.4992647902753,6568.0,1177.0,79198008.92195767,0.2422557933897895,34.54820494938476,32.90118833233899,35.693189917835056,1.0259437112722638,16.08672001214987,63.44201201797495,321.3492063492064,834.1369047619047,8.285202089644553,2.202687032158457,1200.0,18000.0,0.0,0.0,1008.0,95.354,25.354,1.0880305061082702,250000.0,5000.0,24.0,FULL8,0.0,97.5,0.8459016393442623,0.0,0.0,9.0,834.1369047619047,12.670420986050129,5.566899307253022,-0.8645475538456207,-1.248416169224908,31.3502,3.087000000000004,0.0,701.3650793650794,-0.06733053612917364,78.38235162105823
A,20260829_220437_plastic_reflector_plastic_50cm,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260829_220437_plastic_reflector_plastic_50cm,plastic_reflector,plastic,plastic,50.0,0.0,FULL8,1200.0,12000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-29T22:04:37,620,True,620,31.0,-15.0,15.0,1.0,True,20.0,20.0,20.0,1.0,0.0,0.0,0.0,1267.0,2240.0,0.0,0.0,21.739011400433235,171.72420634920638,34.41624413469272,4.874106850413314,3.730325105493847,3666.0,335.0,3198091.0260770973,0.2439061690122166,17.943119472778516,13.125308706217186,20.35926697286805,1.629288041160608,3.313652475466797,59.88198920860056,61.75992063492072,233.5654761904761,11.554038399184554,2.827054517037678,1200.0,12000.0,0.0,0.0,1008.0,45.5847,-4.415300000000002,1.0269761149274996,250000.0,5000.0,24.0,FULL8,0.0,47.5,1.0,0.0,0.0,11.0,233.5654761904761,,,50.853075156969794,-1.9107780096049976,9.70689999999999,1.4063000000000017,0.0,172.75,0.08083281775091292,78.20207157544078
A,20260826_190248_wall_reflector_none,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260826_190248_wall_reflector_none,wall_reflector,wall,none,79.5,0.0,FULL8,1200.0,18000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-26T19:02:48,1210,True,1210,121.0,-30.0,30.0,0.5,True,10.0,10.0,10.0,1.0,0.0,0.0,0.0,1367.0,2626.0,0.0,0.0,13.099044359830206,608.3769841269841,107.2815098034113,5.665704362122841,8.879534867849635,6472.0,1078.5,48339154.17195767,0.2312195599641118,33.32700510256575,30.846181959426755,34.6513935127534,0.931859160549052,33.004796316771106,60.72890580275583,324.1051587301587,760.5813492063492,7.409194557152112,2.839897616249708,1200.0,18000.0,0.0,0.0,1008.0,93.7076,14.2076,1.0415007345172624,250000.0,5000.0,24.0,FULL8,0.0,92.5,0.8553719008264463,0.1446280991735537,0.0,-21.5,760.5813492063492,7.056450214043156,1.9345348466789964,-1.0360069642207304,-0.9410801492264592,106.3986,2.538199999999989,0.0,602.4742063492063,0.5445904294683608,77.36751723369758
A,20260829_220046_wall_reflector_wall_50cm,D:/CustomTxRx/ESP32_Raw_Reflector_Classification/raw_reflector_results\20260829_220046_wall_reflector_wall_50cm,wall_reflector,wall,wall,50.0,0.0,FULL8,1200.0,12000.0,24,250000,5000,1000,RAWCLASS-1.0.0,2026-08-29T22:00:46,620,True,620,31.0,-15.0,15.0,1.0,True,20.0,20.0,20.0,1.0,0.0,0.0,0.0,1394.0,2198.0,0.0,0.0,21.127483133972355,173.6746031746031,32.62486957431423,5.23668738558873,2.9666610775194684,3588.0,340.0,2873831.7831632653,0.2600825460991558,18.27639741300281,14.187706901612444,20.008863105309945,1.711875201192054,31.383696390664014,61.41181096756374,56.35317460317458,225.38492063492072,12.040129391835205,3.461374271809047,1200.0,12000.0,0.0,0.0,1008.0,44.247,-5.753,1.053212558093718,250000.0,5000.0,24.0,FULL8,0.0,42.5,0.9870967741935484,0.0129032258064516,0.0,3.0,225.38492063492072,4.124003526283733,0.9629640712667872,31.666972492175795,-1.5402078128062937,1.7150000000000034,0.531649999999992,0.0,175.3809523809524,1.2629052957177276,76.63947507247273
