repeat_index,angle_deg,rf_prediction,rf_confidence,svm_prediction,svm_confidence,combined_prediction
1.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
2.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
3.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
4.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
5.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
6.0,4.0,plastic,0.7728571428571429,wall,0.5604368624855175,plastic
7.0,4.0,plastic,0.7428571428571429,wall,0.5604368624855175,plastic
8.0,4.0,plastic,0.7448571428571429,wall,0.5604368624855175,plastic
9.0,4.0,plastic,0.7728571428571429,wall,0.5604368624855175,plastic
10.0,4.0,plastic,0.7448571428571429,wall,0.5604368624855175,plastic
11.0,4.0,plastic,0.7328571428571429,wall,0.5604368624855175,plastic
12.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
13.0,4.0,plastic,0.7448571428571429,wall,0.5604368624855175,plastic
14.0,4.0,plastic,0.7448571428571429,wall,0.5604368624855175,plastic
15.0,4.0,plastic,0.7428571428571429,wall,0.5604368624855175,plastic
16.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
17.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
18.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
19.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
20.0,4.0,plastic,0.7768571428571429,wall,0.5604368624855175,plastic
