repeat_index,angle_deg,rf_prediction,rf_confidence,svm_prediction,svm_confidence,combined_prediction
1.0,0.0,wall,0.9244242424242425,wood,0.5349681062024879,wall
2.0,0.0,wall,0.9244242424242425,wood,0.5377707004888556,wall
3.0,0.0,wall,0.9104242424242425,wood,0.5196248647963878,wall
4.0,0.0,wall,0.9224242424242425,wood,0.5448787392961628,wall
5.0,0.0,wall,0.9244242424242425,wood,0.4609353672402124,wall
6.0,0.0,wall,0.9104242424242425,wood,0.4983995425034138,wall
7.0,0.0,wall,0.9244242424242425,wood,0.5296070731469824,wall
8.0,0.0,wall,0.8764242424242424,wood,0.5446721610300201,wall
9.0,0.0,wall,0.8764242424242424,wood,0.44961095794749595,wall
10.0,0.0,wall,0.8764242424242424,wood,0.5104916603638323,wall
