repeat_index,angle_deg,rf_prediction,rf_confidence,svm_prediction,svm_confidence,combined_prediction
1.0,0.0,glass,0.8025651702600232,glass,0.8389917875437386,glass
2.0,0.0,glass,0.9903366402116401,glass,0.8432591662418416,glass
3.0,0.0,glass,0.9873249738766979,glass,0.837941925953142,glass
4.0,0.0,glass,0.998,glass,0.8963866694872994,glass
5.0,0.0,glass,0.9722822580645161,glass,0.8531668067408089,glass
6.0,0.0,glass,0.9965500821018062,glass,0.8498882031102855,glass
7.0,0.0,glass,0.9911428571428571,glass,0.84533148881491,glass
8.0,0.0,glass,0.9945236270753511,glass,0.8348093594839086,glass
9.0,0.0,glass,0.9963417487684728,glass,0.8765071837671483,glass
10.0,0.0,glass,0.996,glass,0.8362579787087278,glass
