Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,-2.800E-01,Trigger Level,-2.800E-01,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,ACK,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+00,Probe Ratio,1.000e+00,
Vertical Scale,2.000e+00,Vertical Scale,1.000e+00,
Vertical Position,4.000e+00,Vertical Position,-2.000e+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,2.000E-04,Horizontal Scale,2.000E-04,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,2.000e-07,Sampling Period,2.000e-07,
Horizontal Old Scale,2.000E-04,Horizontal Old Scale,2.000E-04,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.29,Firmware,V1.29,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-2, ,
-3, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-2, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-2, ,
-4, ,-1, ,
-3, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-3, ,-2, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-3, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-2, ,
-4, ,-1, ,
-4, ,-2, ,
-3, ,-2, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-2, ,
-3, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-5, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-5, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-2, ,
-3, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-2, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-2, ,
-4, ,-2, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-2, ,
-3, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-3, ,-2, ,
-4, ,-1, ,
-4, ,-2, ,
-3, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-3, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-3, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-5, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-2, ,
-4, ,-2, ,
-3, ,-1, ,
-3, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-2, ,
-4, ,-1, ,
-3, ,-1, ,
-3, ,-1, ,
-4, ,-2, ,
-4, ,-2, ,
-4, ,-1, ,
-4, ,-1, ,
-4, ,-1, ,
-3, ,-2, ,
-4, ,-1, ,
